Number Date Time Interface Origin Type Action Service "Source Port" Source Destination Protocol Rule "Rule Name" "Current Rule Number" User Information Product "Source Machine Name" "Source User Name" "Received Bytes" "Sent Bytes"
2428 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.16 www.hushmail.com tcp 188 Rule1 188 don.mestler@acmedemo.net https Management dh1 dh2 1893129 74754
3160 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.19 www.hushmail.com tcp 188 Rule1 188 ted.keppel@acmedemo.net https Management dh1 dh2 1413323 2698472
3407 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.20 www.hushmail.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 398405 4161078
696 7Oct2017 13:21:51 eth3 acmesgw02 Log Accept https 51900 172.16.16.6 docs.google.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 1219737000 197439000
82 5Oct2017 14:22:31 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 groups.google.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 1929945000 1116755000
45 7Oct2017 15:30:22 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 news.google.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 1229691000 803828000
1167 7Oct2017 12:10:12 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 picasa.google.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 1640465000 1726593000
1044 5Oct2017 7:10:43 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 plus.google.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 359483000 3244026000
1188 7Oct2017 5:21:34 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 secure.logmein.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 1421958 1918489
1168 3Oct2017 3:32:23 eth3 acmesgw02 Log Accept https 51900 172.16.16.9 sites.google.com tcp 188 Rule1 188 felipe.gould@acmedemo.net https Management dh1 dh2 823959000 986284000
1209 5Oct2017 15:33:43 eth3 acmesgw02 Log Accept https 51900 172.16.16.10 smile.amazon.com tcp 188 Rule1 188 erica.eyrich@acmedemo.net https Management dh1 dh2 1571972000 2501691000
134 7Oct2017 14:21:53 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 translate.google.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 1519550000 4032767000
2956 7Oct2017 3:20:24 eth3 acmesgw02 Log Accept https 51900 172.16.16.18 www.amazon.com tcp 188 Rule1 188 mary.baker@acmedemo.net https Management dh1 dh2 34864000 1523804000
1563 1Oct2017 22:19:24 eth3 acmesgw02 Log Accept https 51900 172.16.16.11 www.brinkster.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 1355497 3992816
782 7Oct2017 21:18:11 eth3 acmesgw02 Log Accept https 51900 172.16.16.7 www.depositfiles.com tcp 188 Rule1 188 sam.sorokin@acmedemo.net https Management dh1 dh2 2064653 1749156
3280 5Oct2017 22:12:25 eth3 acmesgw02 Log Accept https 51900 172.16.16.19 www.dotster.com tcp 188 Rule1 188 ted.keppel@acmedemo.net https Management dh1 dh2 1304657 1500247
6 7Oct2017 19:12:45 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.dropbox.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 581161000 12950021000
4 7Oct2017 18:11:41 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.evernote.com tcp 188 Rule1 188 erica.eyrich@acmedemo.net https Management dh1 dh2 281161000 9950021000
376 7Oct2017 17:51:32 eth3 acmesgw02 Log Accept https 51900 172.16.16.5 www.google.com tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 1542736000 837284000
785 7Oct2017 16:20:23 eth3 acmesgw02 Log Accept https 51900 172.16.16.7 www.hightail.com tcp 188 Rule1 188 sam.sorokin@acmedemo.net https Management dh1 dh2 400055 2570265
301 7Oct2017 16:43:10 eth3 acmesgw02 Log Accept https 51900 172.16.16.5 www.hushmail.com tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 1992332 905210
989 7Oct2017 15:21:20 eth3 acmesgw02 Log Accept https 51900 172.16.16.8 www.leaseweb.com tcp 188 Rule1 188 casbcs.service@acmedemo.net https Management dh1 dh2 2036027 2700283
1777 7Oct2017 14:34:30 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 www.leaseweb.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 634074 3115852
1554 7Oct2017 13:15:41 eth3 acmesgw02 Log Accept https 51900 172.16.16.11 www.simplenote.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 1287484 1134194
33 8Oct2017 14:14:42 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.slideshare.net tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 949183 1071253
715 1Oct2017 11:12:53 eth3 acmesgw02 Log Accept https 51900 172.16.16.7 www.slideshare.net tcp 188 Rule1 188 sam.sorokin@acmedemo.net https Management dh1 dh2 1188005 1541501
656 3Oct2017 23:21:52 eth3 acmesgw02 Log Accept https 51900 172.16.16.6 www.worldlingo.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 894511 3687173
1721 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 www.snagajob.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 89592000 77558100
1721 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 www.monster.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 79592000 97558100
1721 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.12 www.ziprecruiter.com tcp 188 Rule1 188 bryan.rovell@acmedemo.net https Management dh1 dh2 99592000 87558100
3280 7Oct2017 21:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.19 www.equifax.com tcp 188 Rule1 188 ted.keppel@acmedemo.net https Management dh1 dh2 130457 150247
45 3Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.4 www.equifax.com tcp 188 Rule1 188 alissa.mountjoy@acmedemo.net https Management dh1 dh2 122900 80382
284 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.5 www.equifax.com tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 20000 230000000
1563 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.11 www.bing.com tcp 188 Rule1 188 alex.taylor@acmedemo.net https Management dh1 dh2 1355497 3992816
1563 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.11 stackoverflow.com tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 20000 230000000
1563 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.11 www.oracle.com tcp 188 Rule1 188 bart.hachey@acmedemo.net https Management dh1 dh2 20000 230000000
1563 7Oct2017 23:50:55 eth3 acmesgw02 Log Accept https 51900 172.16.16.11 www.microsoft.com tcp 188 Rule1 188 casbcs.service@acmedemo.net https Management dh1 dh2 20000 230000000
